Assembly	Best match locus	Best match type	Match confidence	Problems	Coverage	Identity	Length discrepancy	Expected genes in locus	Expected genes in locus, details	Missing expected genes	Other genes in locus	Other genes in locus, details	Expected genes outside locus	Expected genes outside locus, details	Other genes outside locus	Other genes outside locus, details
Klebsiella_aerogenes_ATCC_13048	KL186	unknown (KL186)	None	-*	95.20%	79.44%	-120 bp	17 / 21 (81.0%)	KL186_01_galF,93.603%;KL186_03_wzi,91.632%;KL186_04_wza,96.316%;KL186_05_wzb,91.096%;KL186_06_wzc,90.985%;KL186_07_wbaP,88.842%;KL186_08_wctK,84.768%;KL186_12,86.835%;KL186_13_gnd,93.603%;KL186_14_wzx,90.428%;KL186_15_wcuL,90.596%;KL186_16_wcoW,81.269%;KL186_17_rmlB,92.113%;KL186_18_rmlA,93.793%;KL186_19_rmlD,90.909%;KL186_20_rmlC,91.892%;KL186_21_ugd,93.573%	KL186_02_cpsACP;KL186_09_wcuP;KL186_10_wclJ;KL186_11	0		0 / 21 (0%)		3	KL47_15_rmlB,92.958%;KL150_19_gmd,86.787%;KL17_17_rmlA,96.552%
Klebsiella_aerogenes_ATCC_15038	KL42	K42	None	-+*	73.60%	73.85%	+12834 bp	8 / 20 (40%)	KL42_01_galF,91.582%;KL42_03_wzi,90.0%;KL42_04_wza,88.127%;KL42_05_wzb,88.276%;KL42_06_wzc,86.86%;KL42_07_wcaJ,85.504%;KL42_19_gnd,93.996%;KL42_20_ugd,91.517%	KL42_02_cpsACP;KL42_08_wcuO;KL42_09_wzy;KL42_10_wcpV;KL42_11_wcpW;KL42_12_wcpX;KL42_13_manC1;KL42_14_algC;KL42_15_wckG;KL42_16_wckH;KL42_17_wzx;KL42_18_glf	5	KL178_18_manC,90.254%;KL144_20_manB,88.132%;KL64_24_ugd,92.802%;KL138_20_rmlB,87.887%;KL180_21_rmlA,90.0%	0 / 20 (0%)		1	KL150_19_gmd,85.843%
Klebsiella_aerogenes_ATCC_29008	KL167	unknown (KL167)	None	-*	92.33%	73.50%	-249 bp	10 / 19 (52.6%)	KL167_01_galF,91.919%;KL167_03_wzi,89.605%;KL167_04_wza,89.737%;KL167_05_wzb,80.537%;KL167_06_wzc,85.396%;KL167_10_wckK,88.308%;KL167_11_manC,80.597%;KL167_12_manB,81.917%;KL167_18_gnd,90.147%;KL167_19_ugd,85.604%	KL167_02_cpsACP;KL167_07_wzy;KL167_08_wckL;KL167_09_wzx;KL167_13_wbaZ;KL167_14_wbaP;KL167_15_wcuI;KL167_16_wcuC;KL167_17	0		0 / 19 (0%)		1	KL150_19_gmd,87.387%
Klebsiella_aerogenes_ATCC_29009	KL68	K68	None	?-+*	91.92%	78.51%	n/a	13 / 18 (72.2%)	KL68_01_galF,90.584%;KL68_03_wzi,92.708%;KL68_04_wza,96.042%;KL68_05_wzb,88.966%;KL68_06_wzc,90.278%;KL68_07_wbap,90.22%;KL68_08_wzx,89.648%;KL68_12_wzy,86.893%;KL68_13_manC,87.104%;KL68_14_manB,86.057%;KL68_15_wbaZ,89.182%;KL68_17_gnd,93.603%;KL68_18,90.09%	KL68_02_cpsACP;KL68_09_wclV;KL68_10_wckX;KL68_11_wckW;KL68_16_wcuC	1	KL145_23_ugd,93.316%	0 / 18 (0%)		2	KL14_19_manC,98.941%;KL30_19_manB,98.052%
Klebsiella_aerogenes_ATCC_29010	KL186	unknown (KL186)	None	-+*	80.59%	75.33%	-49 bp	11 / 21 (52.4%)	KL186_01_galF,93.266%;KL186_03_wzi,91.213%;KL186_04_wza,87.566%;KL186_13_gnd,93.39%;KL186_14_wzx,89.002%;KL186_15_wcuL,86.52%;KL186_17_rmlB,91.268%;KL186_18_rmlA,93.448%;KL186_19_rmlD,90.909%;KL186_20_rmlC,91.892%;KL186_21_ugd,93.573%	KL186_02_cpsACP;KL186_05_wzb;KL186_06_wzc;KL186_07_wbaP;KL186_08_wctK;KL186_09_wcuP;KL186_10_wclJ;KL186_11;KL186_12;KL186_16_wcoW	2	KL36_07_wcaJ,82.353%;KL29_05_wzb,82.877%	0 / 21 (0%)		3	KL47_15_rmlB,92.958%;KL150_19_gmd,86.787%;KL17_17_rmlA,96.552%
Klebsiella_aerogenes_ATCC_35028	KL68	K68	None	?-+*	91.92%	78.51%	n/a	13 / 18 (72.2%)	KL68_01_galF,90.584%;KL68_03_wzi,92.917%;KL68_04_wza,96.306%;KL68_05_wzb,88.966%;KL68_06_wzc,90.278%;KL68_07_wbap,90.22%;KL68_08_wzx,89.648%;KL68_12_wzy,86.893%;KL68_13_manC,87.104%;KL68_14_manB,86.057%;KL68_15_wbaZ,89.182%;KL68_17_gnd,93.603%;KL68_18,90.09%	KL68_02_cpsACP;KL68_09_wclV;KL68_10_wckX;KL68_11_wckW;KL68_16_wcuC	1	KL145_23_ugd,93.316%	0 / 18 (0%)		2	KL14_19_manC,98.941%;KL30_19_manB,97.835%
Klebsiella_aerogenes_ATCC_35029	KL68	K68	None	?-+*	91.92%	78.51%	n/a	13 / 18 (72.2%)	KL68_01_galF,90.584%;KL68_03_wzi,92.708%;KL68_04_wza,96.306%;KL68_05_wzb,88.966%;KL68_06_wzc,90.278%;KL68_07_wbap,90.22%;KL68_08_wzx,89.441%;KL68_12_wzy,86.893%;KL68_13_manC,87.104%;KL68_14_manB,86.057%;KL68_15_wbaZ,89.182%;KL68_17_gnd,93.603%;KL68_18,90.09%	KL68_02_cpsACP;KL68_09_wclV;KL68_10_wckX;KL68_11_wckW;KL68_16_wcuC	1	KL145_23_ugd,93.316%	0 / 18 (0%)		2	KL14_19_manC,98.941%;KL30_19_manB,98.052%
Klebsiella_aerogenes_ATCC_43175	KL186	unknown (KL186)	None	-*	95.20%	79.44%	-120 bp	17 / 21 (81.0%)	KL186_01_galF,93.603%;KL186_03_wzi,91.632%;KL186_04_wza,96.316%;KL186_05_wzb,91.096%;KL186_06_wzc,90.985%;KL186_07_wbaP,88.842%;KL186_08_wctK,84.768%;KL186_12,86.835%;KL186_13_gnd,93.603%;KL186_14_wzx,90.428%;KL186_15_wcuL,90.596%;KL186_16_wcoW,81.269%;KL186_17_rmlB,92.113%;KL186_18_rmlA,93.793%;KL186_19_rmlD,90.909%;KL186_20_rmlC,91.892%;KL186_21_ugd,93.573%	KL186_02_cpsACP;KL186_09_wcuP;KL186_10_wclJ;KL186_11	0		0 / 21 (0%)		3	KL47_15_rmlB,92.958%;KL150_19_gmd,86.787%;KL17_17_rmlA,96.552%
Klebsiella_aerogenes_ATCC_49469	KL167	unknown (KL167)	None	?-+*	67.32%	72.06%	n/a	5 / 19 (26.3%)	KL167_01_galF,91.919%;KL167_03_wzi,90.833%;KL167_04_wza,88.095%;KL167_18_gnd,92.259%;KL167_19_ugd,87.661%	KL167_02_cpsACP;KL167_05_wzb;KL167_06_wzc;KL167_07_wzy;KL167_08_wckL;KL167_09_wzx;KL167_10_wckK;KL167_11_manC;KL167_12_manB;KL167_13_wbaZ;KL167_14_wbaP;KL167_15_wcuI;KL167_16_wcuC;KL167_17	3	KL180_14_manB,80.306%;KL130_15_wbaZ,81.25%;KL42_05_wzb,83.217%	0 / 19 (0%)		1	KL150_19_gmd,87.463%
Klebsiella_aerogenes_ATCC_49701	KL186	unknown (KL186)	None	-*	95.19%	79.43%	-121 bp	16 / 21 (76.2%)	KL186_01_galF,93.266%;KL186_03_wzi,91.632%;KL186_04_wza,96.316%;KL186_05_wzb,91.096%;KL186_06_wzc,90.985%;KL186_08_wctK,84.768%;KL186_12,86.582%;KL186_13_gnd,93.603%;KL186_14_wzx,90.428%;KL186_15_wcuL,90.596%;KL186_16_wcoW,81.571%;KL186_17_rmlB,92.113%;KL186_18_rmlA,93.793%;KL186_19_rmlD,90.572%;KL186_20_rmlC,91.892%;KL186_21_ugd,94.344%	KL186_02_cpsACP;KL186_07_wbaP;KL186_09_wcuP;KL186_10_wclJ;KL186_11	0		0 / 21 (0%)		3	KL14_19_manC,98.941%;KL30_19_manB,97.84%;KL150_19_gmd,86.186%
