Assembly	Best match locus	Best match type	Confidence	Problems	Identity	Coverage	Length discrepancy	Expected genes in locus	Expected genes in locus, details	Missing expected genes	Other genes in locus	Other genes in locus, details	Expected genes outside locus	Expected genes outside locus, details	Other genes outside locus	Other genes outside locus, details	Truncated genes, details
GCA_019927265.1_ASM1992726v1_genomic	O1/O2v2	O2afg	Typeable		99.06%	100.00%	0 bp	10 / 10 (100.00%)	O1/O2v2_01_wzm,100.00%,100.00%;O1/O2v2_02_wzt,99.19%,100.00%;O1/O2v2_03_wbbM,98.57%,100.00%;O1/O2v2_04_glf,98.96%,100.00%;O1/O2v2_05_wbbN,98.99%,100.00%;O1/O2v2_06_wbbO,99.47%,100.00%;O1/O2v2_07_kfoC,98.76%,100.00%;O1/O2v2_08_gmlC,97.33%,100.00%;O1/O2v2_09_gmlB,99.39%,100.00%;O1/O2v2_10_gmlA,100.00%,100.00%		0		0 / 10 (0.00%)		4	O12_01_rfbB,98.58%,99.72%;OL13_02_rfbA,98.27%,100.00%;OL13_03_rfbD,98.99%,100.00%;OL13_04_rfbC,98.34%,98.37%	
GCA_019927285.1_ASM1992728v1_genomic	OL13	O13	Typeable	?4!	97.15%	109.18%	n/a	9 / 9 (100.00%)	OL13_01_rfbB,97.46%,100.00%;OL13_01_rfbB,97.18%,100.00%;OL13_02_rfbA,100.00%,5.88%,partial;OL13_02_rfbA,100.00%,6.23%,partial;OL13_02_rfbA,98.12%,92.04%,partial;OL13_03_rfbD,98.65%,100.00%;OL13_04_rfbC,96.59%,95.65%,partial;OL13_05_wbbL,98.91%,100.00%;OL13_06_wzm,98.92%,100.00%;OL13_07_wzt,99.32%,100.00%;OL13_08_wbbB,95.71%,100.00%;OL13_09_glycosylhydrolase,85.00%,7.72%,truncated		0		0 / 9 (0.00%)		0		OL13_09_glycosylhydrolase,85.00%,7.72%,truncated
GCA_019927305.1_ASM1992730v1_genomic	O3b	O3b	Typeable	!	99.61%	100.00%	0 bp	8 / 8 (100.00%)	O3b_01_manC,100.00%,100.00%;O3b_02_manB,99.78%,100.00%;O3b_03_wzm,98.47%,100.00%;O3b_04_wzt,99.54%,100.00%;O3b_05_wbdD,99.71%,100.00%;O3b_06_wbdA,99.88%,100.00%;O3b_07_wbdB,99.74%,100.00%;O3b_08_wbdC,99.73%,100.00%		0		0 / 8 (0.00%)		5	OL104_01_manC,94.69%,100.00%;O12_01_rfbB,94.62%,99.72%;OL102_02_rfbA,96.49%,98.62%;OL13_03_rfbD,98.65%,100.00%;OL102_04_rfbC,97.01%,90.76%,truncated	OL102_04_rfbC,97.01%,90.76%,truncated
GCA_019927315.1_ASM1992731v1_genomic	O1/O2v2	O1ab	Typeable	?2	99.14%	99.84%	n/a	10 / 10 (100.00%)	O1/O2v2_01_wzm,99.61%,100.00%;O1/O2v2_02_wzt,99.19%,100.00%;O1/O2v2_03_wbbM,98.57%,100.00%;O1/O2v2_04_glf,99.22%,100.00%;O1/O2v2_05_wbbN,98.97%,98.32%,partial;O1/O2v2_06_wbbO,99.73%,100.00%;O1/O2v2_07_kfoC,99.50%,100.00%;O1/O2v2_08_gmlC,97.53%,100.00%;O1/O2v2_09_gmlB,99.08%,100.00%;O1/O2v2_10_gmlA,100.00%,100.00%		0		0 / 10 (0.00%)		4	O3b_01_manC,100.00%,100.00%;O3/O3a_02_manB,99.78%,97.39%;Extra_genes_wbbYZ_01_wbbY,100.00%,100.00%;Extra_genes_wbbYZ_02_wbbZ,99.63%,100.00%	
GCA_019927325.1_ASM1992732v1_genomic	O1/O2v1	O1ab	Typeable		99.95%	100.00%	0 bp	7 / 7 (100.00%)	O1/O2v1_01_wzm,100.00%,100.00%;O1/O2v1_02_wzt,100.00%,100.00%;O1/O2v1_03_wbbM,100.00%,100.00%;O1/O2v1_04_glf,100.00%,100.00%;O1/O2v1_05_wbbN,99.66%,100.00%;O1/O2v1_06_wbbO,100.00%,100.00%;O1/O2v1_07_kfoC,100.00%,100.00%		0		0 / 7 (0.00%)		4	O3b_01_manC,100.00%,100.00%;O3b_02_manB,99.55%,96.52%;Extra_genes_wbbYZ_02_wbbZ,99.63%,100.00%;Extra_genes_wbbYZ_01_wbbY,100.00%,100.00%	
GCA_019927345.1_ASM1992734v1_genomic	O1/O2v1	O1ab	Typeable		99.96%	100.00%	0 bp	7 / 7 (100.00%)	O1/O2v1_01_wzm,100.00%,100.00%;O1/O2v1_02_wzt,100.00%,100.00%;O1/O2v1_03_wbbM,100.00%,100.00%;O1/O2v1_04_glf,100.00%,100.00%;O1/O2v1_05_wbbN,100.00%,100.00%;O1/O2v1_06_wbbO,99.73%,100.00%;O1/O2v1_07_kfoC,100.00%,100.00%		0		0 / 7 (0.00%)		4	O3b_01_manC,100.00%,100.00%;O3b_02_manB,99.55%,96.52%;Extra_genes_wbbYZ_02_wbbZ,99.63%,100.00%;Extra_genes_wbbYZ_01_wbbY,99.73%,100.00%	
GCA_019927385.1_ASM1992738v1_genomic	O4	O4	Typeable	?3	99.68%	100.21%	n/a	5 / 6 (83.33%)	O4_01_hydrolase,99.67%,100.00%;O4_02_hypothetical,99.73%,94.70%,partial;O4_02_hypothetical,100.00%,5.81%,partial;O4_03_hypothetical,99.57%,100.00%;O4_04_wzt,100.00%,100.00%;O4_05_wzm,98.77%,100.00%;O4_06_glycosyltransferase,99.69%,84.78%,partial;O4_06_glycosyltransferase,100.00%,15.75%,partial		0		0 / 6 (0.00%)		0		
GCA_019927405.1_ASM1992740v1_genomic	O1/O2v2	O1ab	Typeable		99.35%	100.00%	-2 bp	10 / 10 (100.00%)	O1/O2v2_01_wzm,100.00%,100.00%;O1/O2v2_02_wzt,99.59%,100.00%;O1/O2v2_03_wbbM,99.84%,100.00%;O1/O2v2_04_glf,99.22%,100.00%;O1/O2v2_05_wbbN,98.99%,100.00%;O1/O2v2_06_wbbO,100.00%,100.00%;O1/O2v2_07_kfoC,98.26%,100.00%;O1/O2v2_08_gmlC,97.94%,100.00%;O1/O2v2_09_gmlB,99.69%,100.00%;O1/O2v2_10_gmlA,100.00%,100.00%		0		0 / 10 (0.00%)		4	O3/O3a_01_manC,99.15%,100.00%;O3/O3a_02_manB,99.33%,97.39%;Extra_genes_wbbYZ_02_wbbZ,99.26%,100.00%;Extra_genes_wbbYZ_01_wbbY,99.73%,100.00%	
GCA_019927425.1_ASM1992742v1_genomic	OL13	O13	Typeable	?4+!	97.15%	109.00%	n/a	9 / 9 (100.00%)	OL13_01_rfbB,97.46%,100.00%;OL13_01_rfbB,97.18%,100.00%;OL13_02_rfbA,100.00%,5.88%,truncated;OL13_02_rfbA,100.00%,6.23%,partial;OL13_02_rfbA,98.12%,92.04%,partial;OL13_03_rfbD,98.57%,94.59%,partial;OL13_04_rfbC,96.74%,100.00%;OL13_05_wbbL,98.91%,100.00%;OL13_06_wzm,98.92%,100.00%;OL13_07_wzt,99.32%,100.00%;OL13_08_wbbB,95.54%,100.00%;OL13_09_glycosylhydrolase,85.00%,7.72%,truncated		1	O12_03_rfbD,100.00%,5.07%,truncated	1 / 9 (11.11%)	OL13_04_rfbC,96.69%,98.37%	1	O12_03_rfbD,100.00%,5.07%,partial	OL13_02_rfbA,100.00%,5.88%,truncated;OL13_09_glycosylhydrolase,85.00%,7.72%,truncated;O12_03_rfbD,100.00%,5.07%,truncated
GCA_019927435.1_ASM1992743v1_genomic	O3b	O3b	Typeable	?4!	99.59%	101.97%	n/a	8 / 8 (100.00%)	O3b_01_manC,98.75%,16.99%,partial;O3b_01_manC,100.00%,16.77%,truncated;O3b_01_manC,99.74%,83.01%,partial;O3b_02_manB,100.00%,7.83%,partial;O3b_02_manB,99.76%,91.96%,partial;O3b_03_wzm,99.23%,100.00%;O3b_04_wzt,99.30%,100.00%;O3b_05_wbdD,99.56%,100.00%;O3b_06_wbdA,99.64%,100.00%;O3b_07_wbdB,99.48%,100.00%;O3b_08_wbdC,100.00%,20.49%,truncated		0		0 / 8 (0.00%)		0		O3b_01_manC,100.00%,16.77%,truncated;O3b_08_wbdC,100.00%,20.49%,truncated
