Accession,Strain,Isolation_source,Culture_collection,Bioproject,BioSample,Host,Collection_date,Origin,lat,lon,Serovar,Genome Length,No. Contigs,Smallest Contig,Largest Contig,Average Contig Length,N50,non-ATCG,GC Content,Organism Name,ST,cgST,LIN code,Sublineage,Clonal Group,Species,Yersiniabactin,Colibactin,Aerobactin,Salmochelin,RmpADC,rmpA2,virulence_score,Bla_acquired,Bla_inhR_acquired,Bla_ESBL_acquired,Bla_ESBL_inhR_acquired,Bla_Carb_acquired,Bla_chr,SHV_mutations,Omp_mutations,Col_mutations,Flq_mutations,resistance_score,K_locus,K_type,K_locus_confidence,K_locus_problems,K_locus_identity,K_Missing_expected_genes,O_locus,O_type,O_locus_confidence,O_locus_problems,O_locus_identity,O_Missing_expected_genes
Klebsiella_aerogenes_ATCC_13048,ATCC 13048,Sputum; dept. of health and environmental control,ATCC,Unknown,Unknown,Unknown,Unknown,Unknown,NA,NA,Unknown,5286295,1,5286295,5286295,5286295,5286295,0,54.9,Klebsiella aerogenes,134,Not tested,Not tested,Not tested,Not tested,Klebsiella aerogenes,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested
Klebsiella_aerogenes_ATCC_15038,ATCC 15038,Feces,ATCC,Unknown,Unknown,Unknown,Unknown,Unknown,NA,NA,Unknown,5230446,2,147187,5083259,2615223,5083259,0,54.9,Klebsiella aerogenes,Novel,Not tested,Not tested,Not tested,Not tested,Klebsiella aerogenes,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested
Klebsiella_aerogenes_ATCC_29008,ATCC 29008,Unknown,ATCC,Unknown,Unknown,Unknown,Unknown,Unknown,NA,NA,Unknown,5378350,2,31792,5346558,2689175,5346558,0,54.8,Klebsiella aerogenes,Novel,Not tested,Not tested,Not tested,Not tested,Klebsiella aerogenes,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested
Klebsiella_aerogenes_ATCC_29009,ATCC 29009,Unknown,ATCC,Unknown,Unknown,Unknown,Unknown,Unknown,NA,NA,Unknown,5171573,2,9294,5162279,2585786,5162279,0,55.1,Klebsiella aerogenes,93,Not tested,Not tested,Not tested,Not tested,Klebsiella aerogenes,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested
Klebsiella_aerogenes_ATCC_29010,ATCC 29010,Trachea,ATCC,Unknown,Unknown,Unknown,Unknown,Unknown,NA,NA,Unknown,5619729,4,9297,5467868,1404932,5467868,0,54.8,Klebsiella aerogenes,4,Not tested,Not tested,Not tested,Not tested,Klebsiella aerogenes,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested
Klebsiella_aerogenes_ATCC_35028,ATCC 35028,Unknown,ATCC,Unknown,Unknown,Unknown,Unknown,Unknown,NA,NA,Unknown,5351265,1,5351265,5351265,5351265,5351265,0,55,Klebsiella aerogenes,93,Not tested,Not tested,Not tested,Not tested,Klebsiella aerogenes,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested
Klebsiella_aerogenes_ATCC_35029,ATCC 35029,Unknown,ATCC,Unknown,Unknown,Unknown,Unknown,Unknown,NA,NA,Unknown,5292570,2,9294,5283276,2646285,5283276,0,55,Klebsiella aerogenes,93,Not tested,Not tested,Not tested,Not tested,Klebsiella aerogenes,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested
Klebsiella_aerogenes_ATCC_43175,ATCC 43175,Unknown,ATCC,Unknown,Unknown,Unknown,Unknown,Unknown,NA,NA,Unknown,5286321,1,5286321,5286321,5286321,5286321,0,54.9,Klebsiella aerogenes,134,Not tested,Not tested,Not tested,Not tested,Klebsiella aerogenes,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested
Klebsiella_aerogenes_ATCC_49469,ATCC 49469,Clinical isolate,ATCC,Unknown,Unknown,Unknown,Unknown,Unknown,NA,NA,Unknown,5213854,1,5213854,5213854,5213854,5213854,0,54.9,Klebsiella aerogenes,553,Not tested,Not tested,Not tested,Not tested,Klebsiella Ka3,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested
Klebsiella_aerogenes_ATCC_49701,ATCC 49701,Water,ATCC,Unknown,Unknown,Unknown,Unknown,Unknown,NA,NA,Unknown,5175250,1,5175250,5175250,5175250,5175250,0,55,Klebsiella aerogenes,116,Not tested,Not tested,Not tested,Not tested,Klebsiella aerogenes,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested
Klebsiella_aerogenes_ATCC_51697,ATCC 51697,Unknown,ATCC,Unknown,Unknown,Unknown,Unknown,Unknown,NA,NA,Unknown,5306808,2,8828,5297980,2653404,5297980,0,55,Klebsiella aerogenes,4,Not tested,Not tested,Not tested,Not tested,Klebsiella aerogenes,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested
