Accession,Genome ID,Genome Name,Genome Length,No. Contigs,Smallest Contig,Largest Contig,Average Contig Length,N50,non-ATCG,GC Content,Organism Name,ST,cgST,LIN code,Sublineage,Clonal Group,species,Yersiniabactin,Colibactin,Aerobactin,Salmochelin,RmpADC,rmpA2,virulence_score,Bla_acquired,Bla_inhR_acquired,Bla_ESBL_acquired,Bla_ESBL_inhR_acquired,Bla_Carb_acquired,Bla_chr,SHV_mutations,Omp_mutations,Col_mutations,Flq_mutations,resistance_score,K_locus,K_type,K_locus_confidence,K_locus_problems,K_locus_identity,K_Missing_expected_genes,O_locus,O_type,O_locus_confidence,O_locus_problems,O_locus_identity,O_Missing_expected_genes
51983,67b44237ce6d680aa40f53b6,Klebsiella_oxytoca_ATCC_51983,6176456,8,3294,5783196,772057,5783196,0,55,Klebsiella oxytoca,223,Not tested,Not tested,Not tested,Not tested,Klebsiella oxytoca,-,-,-,-,-,-,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested
GCA_900451165.1,67b44237ce6d680e740f52f8,GCA_900451165.1_44787_G01_genomic,5941796,2,20226,5921570,2970898,5921570,0,55.1,Klebsiella oxytoca,257,Not tested,Not tested,Not tested,Not tested,Klebsiella oxytoca,-,-,-,-,-,-,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested
33496,67b44237ce6d6811ca0f53b0,Klebsiella_oxytoca_ATCC_33496,5857989,1,5857989,5857989,5857989,5857989,0,55.2,Klebsiella oxytoca,Novel,Not tested,Not tested,Not tested,Not tested,Klebsiella oxytoca,-,-,-,-,-,-,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested
BAA-2572,67b44237ce6d68240d0f53b8,Klebsiella_oxytoca_ATCC_BAA_2572,6296676,5,3270,6047909,1259335,6047909,0,54.9,Klebsiella oxytoca,36,Not tested,Not tested,Not tested,Not tested,Klebsiella oxytoca,-,-,-,-,-,-,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested
43165,67b44237ce6d68291e0f53b2,Klebsiella_oxytoca_ATCC_43165,5855707,14,104,5650752,418264,5650752,0,55.2,Klebsiella oxytoca,2,Not tested,Not tested,Not tested,Not tested,Klebsiella oxytoca,-,-,-,-,-,-,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested
GCA_900636985.1,67b44237ce6d682afb0f5373,GCA_900636985.1_45889_C01_genomic,5857964,1,5857964,5857964,5857964,5857964,0,55.1,Klebsiella oxytoca,199,Not tested,Not tested,Not tested,Not tested,Klebsiella oxytoca,-,-,-,-,-,-,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested
49131,67b44237ce6d682fa80f53b4,Klebsiella_oxytoca_ATCC_49131,5864658,1,5864658,5864658,5864658,5864658,0,55.2,Klebsiella oxytoca,59,Not tested,Not tested,Not tested,Not tested,Klebsiella oxytoca,-,-,-,-,-,-,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested
GCA_046503475.1,67b44237ce6d68378f0f52f7,GCA_046503475.1_ASM4650347v1_genomic,5804424,60,500,641619,96740,181230,0,55.2,Klebsiella oxytoca,Novel,Not tested,Not tested,Not tested,Not tested,Klebsiella oxytoca,-,-,-,-,-,-,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested
GCA_900451235.1,67b44237ce6d683ccc0f52fb,GCA_900451235.1_36340_F02_genomic,5652648,2,119648,5533000,2826324,5533000,0,55.3,Klebsiella oxytoca,287,Not tested,Not tested,Not tested,Not tested,Klebsiella oxytoca,-,-,-,-,-,-,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested
51817,67b44237ce6d68430b0f53b5,Klebsiella_oxytoca_ATCC_51817,5905396,1,5905396,5905396,5905396,5905396,0,55.2,Klebsiella oxytoca,364,Not tested,Not tested,Not tested,Not tested,Klebsiella oxytoca,-,-,-,-,-,-,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested
